Naylor_2303	-5.95	7.154 6.012 1.142 0.566743692 5.26444833625 10.6079698546
Naylor_2304	-5.62	7.333 6.205 1.128 0.571182713 5.50088652482 10.8634240126
Naylor_2305	-5.21	7.615 6.417 1.198 0.626473666 5.35642737896 10.2430482688
Naylor_2306	-5.05	7.698 6.551 1.147 0.575796337 5.71142109852 11.3772866881
Naylor_2307	-5.08	7.888 6.728 1.16 0.58318212 5.8 11.5367048633
Naylor_2308	-4.87	8.193 7.23 0.963 0.521040746 7.50778816199 13.8760740988
Naylor_2309	-5.09	8.269 7.238 1.031 0.531455563 7.0203685742 13.6192007459
Naylor_2310	-4.98	8.173 7.056 1.117 0.6089974 6.31692032229 11.5862563617
Naylor_2311	-5.03	8.568 7.437 1.131 0.589066959 6.57559681698 12.6250503213
Naylor_2312	-5.16	8.58 7.52 1.06 0.55860024 7.09433962264 13.4622212121
Naylor_2313	-5.36	8.702 7.654 1.048 0.566631222 7.3034351145 13.507903735
Naylor_2314	-6.1	8.78 7.722 1.058 0.555733447 7.29867674858 13.8951507088
Naylor_2315	-6.16	9.237 8.13 1.107 0.579437312 7.34417344173 14.030853436
Naylor_2316	-7.02	9.208 8.28 0.928 0.48701449 8.9224137931 17.001547531
Naylor_2317	-7.31	9.149 8.197 0.952 0.51184359 8.61029411765 16.0146579153
Naylor_2318	-7.55	9.524 8.423 1.101 0.593756251 7.65031789282 14.1859559134
Naylor_2319	-7.84	9.232 8.148 1.084 0.586822609 7.51660516605 13.8849455952
Naylor_2321	-7.85	9.668 8.727 0.941 0.510970546 9.27417640808 17.0792623338
Naylor_2322	-5.49	8.024 6.927 1.097 0.575682212 6.31449407475 12.0326802802
Naylor_2323	-5.38	8.069 6.925 1.144 0.608019414 6.05332167832 11.3894389563
Naylor_2324	-5.1	8.466 7.486 0.98 0.542703401 7.6387755102 13.7939065541
Naylor_2325	-5.26	8.502 7.519 0.983 0.515042845 7.6490335707 14.5987854661
Naylor_2326	-5.03	8.602 7.519 1.083 0.567477837 6.94275161588 13.2498566636
Naylor_2327	-5.09	8.77 7.743 1.027 0.553946267 7.5394352483 13.9778900252
Naylor_2328	-5.52	9.225 8.278 0.947 0.49902552 8.74128827878 16.5883299916
Naylor_2329	-5.8	9.536 8.555 0.981 0.520828395 8.72069317023 16.4257557424
Naylor_2330	-6.18	9.567 8.572 0.995 0.544422962 8.61507537688 15.7451110594
Naylor_2331	-6.67	9.401 8.286 1.115 0.603447197 7.43139013453 13.7311102632
Naylor_2332	-7.18	9.688 8.764 0.924 0.517449913 9.48484848485 16.9369049638
Naylor_2333	-7.13	9.904 8.991 0.913 0.495505958 9.84775465498 18.1450895894
Naylor_2334	-6.14	7.724 6.269 1.455 0.76200048 4.30859106529 8.22702893835
Naylor_2335	-6.14	7.448 6.159 1.289 0.709609859 4.77812257564 8.67941717817
Naylor_2336	-5.87	7.882 6.649 1.233 0.670905752 5.39253852393 9.91048292577
Naylor_2337	-5.37	8.3 7.038 1.262 0.691209158 5.57686212361 10.182156759
Naylor_2338	-4.99	8.679 7.429 1.25 0.674663889 5.9432 11.0114089714
Naylor_2339	-5.34	8.553 7.23 1.323 0.723869897 5.46485260771 9.98798268855
Naylor_2340	-5.06	8.886 7.621 1.265 0.688070986 6.02450592885 11.0758921028
Naylor_2341	-5.35	9.028 7.759 1.269 0.701389129 6.11426319937 11.0623328466
Naylor_2342	-5.53	8.993 7.701 1.292 0.700766098 5.96052631579 10.9894014879
Naylor_2343	-5.8	9.22 8.033 1.187 0.648408435 6.76748104465 12.3887962685
Naylor_2344	-6.51	8.487 6.998 1.489 0.7785623 4.6997985225 8.98836226722
Naylor_2345	-6.26	8.356 6.96 1.396 0.753523532 4.98567335244 9.23660603077
Naylor_2346	-5.64	8.587 7.231 1.356 0.737540686 5.33259587021 9.80420488965
Naylor_2347	-5.08	8.653 7.249 1.404 0.750394819 5.16310541311 9.66024793409
Naylor_2348	-5.09	9.308 7.972 1.336 0.695053326 5.96706586826 11.4696235552
Naylor_2349	-5.09	8.779 7.406 1.373 0.735019924 5.39402767662 10.0759173434
Naylor_2350	-5.18	8.658 7.457 1.201 0.655237771 6.20899250624 11.3806015618
Naylor_2351	-5.36	9.387 8.107 1.28 0.683368216 6.33359375 11.8632968438
Naylor_2361	-5.03	8.613 7.622 0.991 0.527519174 7.6912209889 14.4487639041
Naylor_2362	-5	8.622 7.598 1.024 0.536097381 7.419921875 14.1727982066
Naylor_2363	-6.34	8.953 7.783 1.17 0.580343762 6.65213675214 13.4110169
Naylor_2364	-5.1	8.093 6.99 1.103 0.585721376 6.33726201269 11.934001876
Naylor_2365	-5.07	8.42 7.174 1.246 0.621736576 5.75762439807 11.5386488055
Naylor_2366	-4.99	8.618 7.678 0.94 0.514858534 8.16808510638 14.9128342894
Compound.10	-5.82	9.156 8.112 1.044 0.564454288 7.77011494253 14.3714029151
Compound.11	-5.88	9.193 8.02 1.173 0.63476668 6.83716965047 12.6345636164
Compound.12	-6.24	9.191 8.26 0.931 0.491722817 8.87218045113 16.7980815908
Compound.13	-5.42	8.882 7.606 1.276 0.656084883 5.96081504702 11.5930121194
Compound.14	-5.95	8.327 7.174 1.153 0.596364736 6.22202948829 12.0295509894
Compound.15	-5.73	8.938 7.839 1.099 0.530764981 7.13284804368 14.7692486894
Compound.16	-7	9.115 7.925 1.19 0.585907145 6.65966386555 13.5260340613
Compound.17	-5.82	9.221 8.25 0.971 0.480804193 8.49639546859 17.1587521908
Compound.18	-6.54	8.533 7.343 1.19 0.621203468 6.17058823529 11.8206036802
Compound.19	-6.17	9.123 7.803 1.32 0.664556165 5.91136363636 11.741671225
Compound.1	-5.79	8.669 7.265 1.404 0.751345493 5.1745014245 9.66931999684
Compound.20	-6.23	8.792 7.471 1.321 0.698577287 5.65556396669 10.6945933385
Compound.21	-5.64	8.848 7.749 1.099 0.539365732 7.05095541401 14.3668749056
Compound.22	-6.96	9.027 7.553 1.474 0.768249381 5.12415196744 9.83144300119
Compound.23	-5.48	9.188 7.801 1.387 0.727474213 5.62436914203 10.7234041573
Compound.24	-6.72	8.419 7.307 1.112 0.607582384 6.57104316547 12.0263526271
Compound.25	-6.55	9.021 7.65 1.371 0.719428914 5.57986870897 10.6334341742
Compound.26	-5.6	9.22 7.91 1.31 0.684843548 6.03816793893 11.5500832608
Compound.27	-5.78	8.896 7.498 1.398 0.738910541 5.36337625179 10.1473718183
Compound.28	-6.39	8.539 7.279 1.26 0.664290229 5.77698412698 10.9575599373
Compound.29	-10	9.858 8.674 1.184 0.634083894 7.32601351351 13.6795778636
Compound.2	-7.05	8.382 7.074 1.308 0.692993875 5.40825688073 10.207882429
Compound.30	-10	9.337 7.949 1.388 0.737808522 5.72694524496 10.7737980289
Compound.31	-10	9.626 8.092 1.534 0.804845206 5.27509778357 10.0541072242
Compound.32	-7.1	9.083 7.518 1.565 0.797510953 4.80383386581 9.42682977797
Compound.33	-7.05	9.084 7.587 1.497 0.769418526 5.06813627255 9.86069316454
Compound.34	-8	7.906 6.307 1.599 0.840945494 3.94434021263 7.4998915447
Compound.35	-7.15	7.621 5.973 1.648 0.873112856 3.62439320388 6.8410400316
Compound.36	-7.7	8.228 6.495 1.733 0.900390375 3.74783612233 7.21353779465
Compound.37	-8	7.342 5.799 1.543 0.844088158 3.75826312378 6.87013547701
Compound.38	-8	7.619 6.019 1.6 0.842196293 3.761875 7.14678994675
Compound.39	-7.52	7.74 6.208 1.532 0.807879943 4.05221932115 7.68431009309
Compound.3	-6.96	8.69 7.346 1.344 0.728008168 5.46577380952 10.0905461269
Compound.40	-6.46	8.203 7.104 1.099 0.614618755 6.46405823476 11.558384677
Compound.41	-6.8	8.16 7.049 1.111 0.594885011 6.34473447345 11.8493488147
Compound.42	-7.15	7.744 6.466 1.278 0.659822511 5.05946791862 9.79960503348
Compound.43	-6.03	8.36 7.236 1.124 0.555920366 6.43772241993 13.0162527631
Compound.44	-7.52	7.815 6.481 1.334 0.694567338 4.85832083958 9.33098872553
Compound.45	-6.85	7.943 6.623 1.32 0.691079264 5.01742424242 9.58356059139
Compound.46	-10	7.671 6.411 1.26 0.643499381 5.0880952381 9.96271354611
Compound.47	-7	8.486 7.239 1.247 0.650445625 5.80513231756 11.1292930904
Compound.48	-6.39	9.251 8.067 1.184 0.604677462 6.81334459459 13.3409966585
Compound.49	-10	10.7 8.091 2.609 1.254627464 3.10118819471 6.44892626071
Compound.4	-5.46	8.795 7.376 1.419 0.766274433 5.19802677942 9.62579420942
Compound.50	-8	5.701 4.354 1.347 0.696985717 3.23236822569 6.24689989164
Compound.51	-6.43	8.777 7.405 1.372 0.746133591 5.3972303207 9.92449621532
Compound.52	-8	7.583 6.039 1.544 0.831787518 3.91126943005 7.26026763965
Compound.53	-10	7.499 6.065 1.434 0.74713693 4.22942817294 8.11765522017
Compound.54	-7.4	7.746 6.233 1.513 0.806396058 4.11962987442 7.72945246714
Compound.55	-8	7.766 6.136 1.63 0.844226871 3.76441717791 7.26818845831
Compound.56	-7.7	7.667 6.07 1.597 0.835673073 3.80087664371 7.26360606332
Compound.57	-8	7.83 5.5 2.33 1.324916484 2.36051502146 4.1512050506
Compound.58	-7.7	7.753 6.221 1.532 0.804279233 4.06070496084 7.73487583012
Compound.59	-10	9.334 8.134 1.2 0.653015914 6.77833333333 12.4560517219
Compound.5	-5.91	8.857 7.454 1.403 0.733344333 5.31290092659 10.1643929933
Compound.60	-10	9.355 8.232 1.123 0.590443749 7.3303650935 13.942056316
Compound.61	-7.7	8.035 6.67 1.365 0.721514745 4.88644688645 9.24444031979
Compound.62	-8	8.084 6.719 1.365 0.721513993 4.92234432234 9.31236270563
Compound.6	-6.11	9.014 7.686 1.328 0.688325248 5.78765060241 11.1662328562
Compound.7	-6.12	8.912 7.679 1.233 0.626912967 6.22789943228 12.2489091855
Compound.8	-5.89	9.213 7.959 1.254 0.686217524 6.34688995215 11.598363087
Compound.9	-6.02	8.931 7.758 1.173 0.569659019 6.61381074169 13.6186731733
hepta_0_	-6.56	9.242 7.969 1.273 0.675865554 6.26001571092 11.7908065485
hepta_1000_	-5.31	9.234 7.982 1.252 0.673685445 6.37539936102 11.848259539
hepta_1001_	-5.69	9.103 7.897 1.206 0.637533252 6.54809286899 12.3868048846
hepta_1002_	-10	8.917 7.59 1.327 0.726197347 5.71966842502 10.4517043905
hepta_1003_	-10	8.856 7.717 1.139 0.625158464 6.77524143986 12.3440702548
hepta_1004_	-5.72	9.18 8.08 1.1 0.584050329 7.34545454545 13.8344241905
hepta_1005_	-5.6	9.486 8.183 1.303 0.690761235 6.28012279355 11.846350932
hepta_1006_	-5.37	9.03 7.825 1.205 0.651498729 6.49377593361 12.0107678675
hepta_1007_	-5.9	9.129 7.819 1.31 0.683452198 5.96870229008 11.4404489778
hepta_1008_	-5.69	9.12 7.851 1.269 0.684213125 6.18676122931 11.4744948805
hepta_1009_	-10	9.266 7.9 1.366 0.743863665 5.78330893119 10.6202256834
hepta_100_	-5.66	9.325 7.968 1.357 0.70043445 5.87177597642 11.3757968358
hepta_1010_	-6.3	9.044 7.827 1.217 0.633894104 6.43138866064 12.3474882486
hepta_1011_	-5.84	9.064 7.843 1.221 0.635310452 6.42342342342 12.345145551
hepta_1012_	-5.18	9.113 7.878 1.235 0.662643998 6.37894736842 11.8887366727
hepta_1013_	-5.78	8.913 7.684 1.229 0.655438236 6.25223759154 11.7234539854
hepta_1014_	-7.12	8.611 7.328 1.283 0.710388509 5.71161340608 10.3154821723
hepta_1015_	-6.87	8.937 7.724 1.213 0.67934679 6.36768342951 11.3697453402
hepta_1016_	-6.23	9.015 7.839 1.176 0.619343305 6.66581632653 12.6569544495
hepta_1017_	-5.28	9.041 7.767 1.274 0.661732541 6.09654631083 11.7373704915
hepta_1018_	-6.41	8.945 7.652 1.293 0.706754085 5.91802010828 10.8269625353
hepta_1019_	-10	8.806 7.66 1.146 0.607196347 6.68411867365 12.6153591632
hepta_101_	-5.4	9.412 8.144 1.268 0.662355544 6.42271293375 12.2955111855
hepta_1020_	-5.46	8.789 7.653 1.136 0.596489557 6.73679577465 12.8300653552
hepta_1021_	-5.59	8.851 7.712 1.139 0.625636145 6.77085162423 12.3266535376
hepta_1022_	-6.56	8.854 7.564 1.29 0.73215708 5.86356589147 10.3311163774
hepta_1023_	-5.95	9.127 7.915 1.212 0.649095636 6.53052805281 12.1938887908
hepta_1024_	-6.32	9.237 7.879 1.358 0.727079425 5.80191458027 10.8365052415
hepta_1025_	-5.96	8.981 7.733 1.248 0.662772656 6.19631410256 11.6676509358
hepta_1026_	-5.11	8.818 7.469 1.349 0.714090443 5.53669384729 10.4594594049
hepta_1027_	-10	9.259 8.012 1.247 0.687810505 6.42502004812 11.6485571851
hepta_1028_	-10	9.25 7.978 1.272 0.693851224 6.27201257862 11.4981421435
hepta_1029_	-6.13	9.153 7.796 1.357 0.727110809 5.74502579219 10.7218870955
hepta_102_	-6.1	9.257 7.939 1.318 0.691912084 6.02352048558 11.4740010813
hepta_1030_	-6.11	8.825 7.596 1.229 0.663739017 6.18063466233 11.4442571635
hepta_1031_	-5.88	9.736 8.422 1.314 0.689296686 6.40943683409 12.2182511117
hepta_1032_	-6.2	9.096 7.908 1.188 0.647598038 6.65656565657 12.211278503
hepta_1033_	-10	9.226 7.801 1.425 0.801372812 5.47438596491 9.73454537412
hepta_1034_	-10	9.249 7.967 1.282 0.696028515 6.21450858034 11.4463701246
hepta_1035_	-6.57	9.806 8.546 1.26 0.649184341 6.78253968254 13.1642115502
hepta_1036_	-6.64	9.209 7.916 1.293 0.678567732 6.12219644238 11.6657477606
hepta_1037_	-10	9.334 8.052 1.282 0.694328729 6.28081123245 11.5968123796
hepta_1038_	-6.25	9.16 7.964 1.196 0.623360167 6.65886287625 12.7759206019
hepta_1039_	-6.08	9.056 7.793 1.263 0.676104093 6.17022961203 11.5263316414
hepta_103_	-6.27	8.881 7.614 1.267 0.692839458 6.00947119179 10.9895588539
hepta_1040_	-5.94	8.94 7.652 1.288 0.674249676 5.94099378882 11.3489116456
hepta_1041_	-10	9.126 8.017 1.109 0.580115834 7.22903516682 13.8196538176
hepta_1042_	-10	9.277 8.02 1.257 0.685935255 6.38027048528 11.6920656017
hepta_1043_	-10	9.24 7.91 1.33 0.723881604 5.94736842105 10.9272012941
hepta_1044_	-10	9.219 8.092 1.127 0.606863998 7.1801242236 13.3341243288
hepta_1045_	-5.57	8.921 7.67 1.251 0.687544764 6.1310951239 11.1556372786
hepta_1046_	-6.94	8.907 7.67 1.237 0.678239687 6.20048504446 11.3086865116
hepta_1047_	-4.96	9.341 8.195 1.146 0.613704177 7.15095986038 13.3533391284
hepta_1048_	-6.23	9.094 7.851 1.243 0.645182877 6.31617055511 12.1686428451
hepta_1049_	-5.07	9.571 8.157 1.414 0.756299757 5.76874115983 10.7854060834
hepta_104_	-6.34	9.187 7.884 1.303 0.685166843 6.05065234075 11.5066864086
hepta_1050_	-5.15	9.214 7.908 1.306 0.713240509 6.05513016845 11.087424088
hepta_1051_	-6.46	8.987 7.608 1.379 0.737730956 5.5170413343 10.3127026704
hepta_1052_	-6.17	9.245 7.917 1.328 0.707414263 5.96159638554 11.1914622225
hepta_1053_	-7.49	9.485 8.14 1.345 0.711863991 6.05204460967 11.4347685835
hepta_1054_	-4	9.128 7.665 1.463 0.778263922 5.23923444976 9.84884405319
hepta_1055_	-5.96	8.871 7.463 1.408 0.758229491 5.30042613636 9.84266648631
hepta_1056_	-6.43	8.86 7.333 1.527 0.839577805 4.80222658808 8.73415180383
hepta_1057_	-6	9.418 7.974 1.444 0.76191508 5.52216066482 10.4657332678
hepta_1058_	-5.55	8.922 7.789 1.133 0.585696562 6.8746690203 13.2986951014
hepta_1059_	-7.13	9.487 8.27 1.217 0.643325745 6.79539852095 12.8550739097
hepta_105_	-6.17	9.623 8.338 1.285 0.664663484 6.48871595331 12.5446939703
hepta_1060_	-6.38	9.109 7.786 1.323 0.722101593 5.8851095994 10.7824163185
hepta_1061_	-5.96	9.169 7.905 1.264 0.669826472 6.2539556962 11.8015640325
hepta_1062_	-5.56	9.097 7.771 1.326 0.709800589 5.8604826546 10.9481453248
hepta_1063_	-7.66	9.488 8.266 1.222 0.636376633 6.7643207856 12.98916329
hepta_1064_	-6.77	8.972 7.646 1.326 0.707574726 5.76621417798 10.8059258182
hepta_1065_	-5.33	8.972 7.665 1.307 0.698682313 5.86457536343 10.9706512636
hepta_1066_	-5.68	9.001 7.757 1.244 0.661144826 6.23553054662 11.7326789758
hepta_1067_	-5.91	8.87 7.517 1.353 0.720449898 5.55580192166 10.433758157
hepta_1068_	-5.91	8.73 7.746 0.984 0.525434623 7.87195121951 14.742081433
hepta_1069_	-5.86	9.347 8.112 1.235 0.638989567 6.56842105263 12.6950429537
hepta_106_	-5.73	9.003 7.859 1.144 0.600091777 6.86975524476 13.0963300969
hepta_1070_	-5.54	9.27 8.149 1.121 0.578450496 7.26940231936 14.0876359453
hepta_1071_	-6.49	9.153 8.019 1.134 0.58814519 7.07142857143 13.6343884747
hepta_1072_	-5.05	9.027 8.009 1.018 0.522272962 7.8673870334 15.3348930209
hepta_1073_	-10	9.193 7.88 1.313 0.691457682 6.00152322925 11.3962144107
hepta_1074_	-6.51	9.289 7.984 1.305 0.696201894 6.11800766284 11.4679377761
